name,sids,county,state,elev,climdiv,uid,longitude,latitude
ROCKY POINT 3 S,"['357285 2', 'USC00357285 6']",41035,OR,4154.0,OR07,14929,-122.08333,42.43333
LAKE O WOODS,"['354650 2', 'LOWO3 7']",41035,OR,4970.0,OR07,14930,-122.20444,42.39778
KLAMATH AGENCY,['354498 2'],41035,OR,4173.0,OR03,14954,-121.93333,42.63333
FORT KLAMATH 7 SW,"['353022 2', 'USC00353022 6']",41035,OR,4163.0,OR07,14955,-122.08333,42.61667
CHILOQUIN 12 NW (FORT KLAMATH),"['351574 2', 'USC00351574 6', 'CHQO3 7']",41035,OR,4180.0,OR07,14962,-121.9952,42.7036
SEVEN LAKES,['357687 2'],41035,OR,6243.0,OR07,14963,-122.13333,42.65
KLAMATH AGENCY (1),"['354499 2', 'USC00354499 6']",41035,OR,4169.0,,38722,-121.93333,42.6
PANHANDLE OREGON,['USR0000OPAN 6'],41035,OR,4400.0,OR07,66861,-122.0639,42.7694
SELDOM CREEK OREGON,['USR0000OSEL 6'],41035,OR,4875.0,OR07,66888,-122.1914,42.4075
FOURMILE LAKE,['USS0022G12S 6'],41035,OR,5970.0,OR07,67755,-122.23,42.44
BILLIE CREEK DIVIDE,['USS0022G13S 6'],41035,OR,5280.0,OR07,67756,-122.27,42.41
COLD SPRINGS CAMP,['USS0022G24S 6'],41035,OR,5940.0,OR07,67759,-122.18,42.53
SEVENMILE MARSH,['USS0022G33S 6'],41035,OR,5700.0,OR07,67760,-122.14,42.7
ANNIE SPRINGS,['USS0022G06S 6'],41035,OR,6010.0,OR05,77584,-122.17,42.87
CRATER LAKE NPS HQ,"['351946 2', 'USC00351946 6', 'CRLO3 7']",41035,OR,6485.0,OR05,15004,-122.13387,42.89765

